	ABT	AG	AHR	AKMK	AKMW	AKNK	AKOK	AKR	AKWG	AKWH	AKWK	ANI	AR	ARM	ART	ASH	AU	AW	AWD	AWN	BAL	BC	BOG	BOR	BR	BSH	CB	CBWK	CH	CL	CMD	CS	D	DC	DCB	DCP	DRY	DUD	EAL	EL	EM	ESK	EU	FRK	GLN	HAL	HAN	HBMAK	HBMAN	HBMNR	HBPOR	HER	HKH	HOK	HOR	HRMAN	HRMW	HRN	HRWG	HT	HTM	HUT	HW	IRC	JLB	JLH	JLW	K	KAR	KAU	KH	KKP	KN	KOW	KP	KRK	KT	KTN	KWH	LG	LU	LV	LYL	M	MA	MB	MD	MGK	MGP	MH	MKD	MKM	MKU	ML	MNK	MNR	MNT	MO	MPT	MRP	MSB	MTK	MTR	MTU	MU	MUG	MWB	MWF	MWP	MWW	NKU	O	OAG	OAK	OAL	OAM	OB	OHP	OMR	OMW	OP	OPH	OPU	OR	ORO	OT	OTH	OTN	OTR	PAH	PAW	PB	PCK	PGH	PH	PHE	PHN	PHP	PIR	PKW	PP	PRN	PRS	PU	PUH	QLB	RED	RES	RG	RH	RHP	RMW	RUA	SEL	SH	SKL	SP	SPR	SR	STX	SY	TAS	TH	TIR	TIW	TK	TKP	TKT	TNK	TP	TR	TRB	TRC	TRK	TRN	TRP	TRU	TS	TSH	TSRM	TUK	VU	WAI	WB	WC	WGMAN	WGPOR	WGR	WGWG	WHB	WKK	WKMTA	WKN	WKNK	WKOKU	WKR	WKWK	WMR	WMU	WN	WP	WPR	WS	WTT	AB144	AG136	CY54N	AZ117F	AZ117H	AZ117N	BH111	BL107	CL96	CM51F	CM51H	CM51N	CQ65	CY54F	CY54H	DL60	DP56	M152	O151H	O151N	Q158F	Q158H	Q158N	CR90
k__Bacteria;p__Chlamydiae;c__;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other;Other	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0.0002	0	0	0.000133333	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	0	0	0.000133333	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	6.67E-05	0	0.000133333	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.000133333	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.0002	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.000466667	0	6.67E-05	0.000133333	0	0	6.67E-05	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.000133333	0	0	6.67E-05	0	0	0	0	0	0	0	0	0.0018	0	0.0006	6.67E-05	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0.000133333	0	0.000266667	0	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0.000133333	6.67E-05	6.67E-05	0	0	0	0	0.000133333	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	6.67E-05	0	0	0	0.000133333	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;Other	0	0	6.67E-05	0.000133333	0	6.67E-05	0.000133333	6.67E-05	0.000266667	6.67E-05	0	0	6.67E-05	6.67E-05	6.67E-05	0	0.000133333	0.0002	0.001333333	0	0	0.0002	0	6.67E-05	0.000533333	0	0.0002	0	0.000533333	0	6.67E-05	6.67E-05	0.000466667	0.000133333	0.000266667	0.000333333	0	0.000133333	0	0.000266667	6.67E-05	0	0.0002	0	0	0	0	0.0006	0.0002	0	0.000266667	0.000733333	0.000133333	0	6.67E-05	0	6.67E-05	0	6.67E-05	0	0.000133333	0	0	0	0.000466667	0	0.000533333	6.67E-05	0.0002	0.000266667	0	0.000133333	0	0	0	0.000133333	0.000266667	0	6.67E-05	6.67E-05	0	0.000266667	0	6.67E-05	0.0002	0	0	6.67E-05	0	0.000133333	0	0	0.0002	0.000133333	0.000133333	0.002733333	6.67E-05	0	0	0	0.000533333	0.000266667	0.0006	0	0.0002	0	0	0	0	0	0.000133333	0.000133333	0	0	0.000266667	0.000133333	0	0	0	0	0	6.67E-05	0	6.67E-05	0.0002	0.000266667	6.67E-05	6.67E-05	6.67E-05	0	6.67E-05	0.000266667	6.67E-05	0	0.000266667	0.000133333	0.000266667	0	0	0.0002	0	0	0	0.000733333	0.000133333	0	6.67E-05	6.67E-05	0	0.000133333	0.000133333	0	0	0	0.000133333	0.000133333	0	0	0	0	6.67E-05	0.000133333	0	0	6.67E-05	0	0	0.000266667	0	0	0	0.000133333	0	6.67E-05	0.000333333	0	0	0	0	0.000266667	0	0.0002	0.000466667	0	6.67E-05	0	6.67E-05	6.67E-05	0	6.67E-05	6.67E-05	0.0004	6.67E-05	0.0002	0.0004	6.67E-05	0.000133333	0	0.0002	0.000133333	0	0	6.67E-05	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__	0	0	6.67E-05	0.000133333	0	0.0002	0	0	0.0002	0.0002	0	0	0.000266667	6.67E-05	0.0002	0	0.000266667	0	0.001133333	0.0002	0	0.000333333	0	0	6.67E-05	0	0.000133333	0	0.000333333	6.67E-05	0	6.67E-05	0.000933333	0.0002	0.000333333	0.000266667	0	0.000133333	0	0	6.67E-05	0	0.000133333	0	0	0	0	0	0	0	0	0	0.000333333	6.67E-05	0	0	0	0	0.000133333	0	6.67E-05	6.67E-05	0.0006	0	6.67E-05	0.000133333	0.000133333	0	0.000333333	0.0006	0	0.000133333	0.000133333	0	0	6.67E-05	0.000133333	0	0	0.000266667	6.67E-05	6.67E-05	6.67E-05	0.000466667	0.000133333	0	0	6.67E-05	6.67E-05	0.000266667	0	0	0.000133333	0	0.0006	0	0	0	0	0	0.0002	0.0004	0.000133333	0	0.0002	0	6.67E-05	0	0	0	0.000466667	0	0	0.0002	0	0	0.0002	0	0.000266667	0	0	0	0	0.0002	0	6.67E-05	0.000133333	0.000266667	0	0	0	0.0002	0.000333333	0	0.000266667	6.67E-05	0.000133333	6.67E-05	6.67E-05	0.0002	0	0	0	0.000866667	0.0002	0	0.0002	0.000333333	0	6.67E-05	6.67E-05	0	0	0	0.000133333	0	6.67E-05	0	0	0	0	0	0	0	0.000133333	0	0.000133333	0	0	0	0.000133333	0	0.000133333	0.000866667	6.67E-05	6.67E-05	0.002066667	0	0	0.000266667	0	0.000133333	0.000133333	0	0	0	0	6.67E-05	0	6.67E-05	0.0004	0.0004	6.67E-05	0	0.0002	6.67E-05	0.0008	6.67E-05	6.67E-05	0.000133333	0	6.67E-05	0.000333333	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Criblamydiaceae	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0.000133333	0	0	0.0002	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0.0008	0.000266667	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0.0006	0	0	0	0	0	0	0.000333333	0	0	0	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0.000133333	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0.000133333	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae	0	0	0.000133333	0.000533333	6.67E-05	0.000266667	0.000133333	0	0.000533333	6.67E-05	6.67E-05	0.0004	0.0004	0.000133333	0.000733333	6.67E-05	0.000466667	6.67E-05	0.001466667	0.0004	0.0002	0.004333333	0.000333333	0.000933333	0	0	6.67E-05	0	0.000533333	0.000133333	6.67E-05	0.0006	0.000533333	0.0006	0.000266667	0.000333333	6.67E-05	0.0002	6.67E-05	6.67E-05	0.000466667	0.0002	0.0002	0	0	0	0.0004	0.000133333	0.0004	0	0.001	0	6.67E-05	0.0006	0.002066667	0.000333333	0	0.0022	0.000133333	0	0.0006	0.000333333	0.000666667	6.67E-05	0.0014	0.0004	0.004133333	0	0.002133333	0.000733333	6.67E-05	0.000133333	0.000133333	0	0	6.67E-05	6.67E-05	0	0.000133333	0.000133333	0	0.0002	0	0.000333333	0.000266667	0.000133333	0	0.0004	0.000133333	0.000466667	0.000933333	0	0.0048	0.000333333	0.000266667	0.002866667	6.67E-05	0	0	0.000533333	6.67E-05	0.0002	0.001733333	0.0002	0.000133333	6.67E-05	0.000266667	0.000933333	0	0.000133333	0.0004	6.67E-05	0	0	0.000133333	0.000533333	0.0002	0	0.000333333	0	0.0002	0.000133333	6.67E-05	0.000133333	6.67E-05	0	6.67E-05	0.000266667	0.000266667	0	0.000266667	0.0002	0.0008	6.67E-05	0.000333333	0.000266667	0.000266667	6.67E-05	0.000266667	0.001133333	0.000133333	0.000133333	0	0.000666667	0.001	0.0008	0.0002	0.0042	0	0.000133333	0.000533333	0	0.000266667	0	0.000266667	0.0002	0.000133333	0	0	0	0.000266667	0.0004	0.0002	0	0.000133333	0	0.0004	0.000266667	0.000733333	6.67E-05	0.000466667	0.001133333	0.0006	0.000333333	6.67E-05	0.000266667	0.000933333	0	0.000533333	0.001133333	0.000733333	0.000133333	0.0002	0.000266667	0.000666667	0.001	0.001133333	0.0002	0.000466667	0.001266667	0.0002	0.000466667	0.000266667	0.002266667	0.002266667	0	0.000333333	0.0004	0.0004	0.000666667	0.0002	0.000266667	0.000333333	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae	0	0	0	0.0002	0.000133333	0.000266667	0	0	0.002	0.0002	0	0.000133333	0.0002	0.0004	0.001	0	0.000866667	0	0.0008	0.000133333	0	6.67E-05	0	0.000133333	0	0	0.000333333	0	0.0004	0	0	0.000333333	0.000866667	0.0012	0.0002	0.000333333	6.67E-05	0.0004	0	0.000266667	0.0006	0	0.000466667	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0.000266667	0.000133333	0	6.67E-05	0	0	0	0	0.000133333	6.67E-05	0.0008	0	0.001466667	0.000133333	0	6.67E-05	0.0002	0.000266667	0	0.000266667	0.000266667	0	0	0	0.0002	0	0	0.000133333	6.67E-05	0.000866667	0	0.000333333	0	0	0	0.000133333	0	0.0002	0.0002	0.000533333	0	0	0.000533333	0.0002	0	0	0	6.67E-05	0.000866667	0.0002	0.000333333	0	6.67E-05	0	0.000133333	0	0	0	0.000333333	0.000133333	0	0	0	6.67E-05	0.0002	0	0	0	0.000133333	0	0	6.67E-05	0	0.0002	0.0002	0	0.000133333	0	0	0.000133333	0.001666667	0.0002	0.000466667	0.000133333	0.000266667	0	0	0.000133333	6.67E-05	0	0	0.005066667	0.000333333	0	6.67E-05	0.0002	0	0.0004	0.000133333	0	0	0	0.0004	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	6.67E-05	0.0002	0.0002	0.000133333	6.67E-05	0.000333333	0	0	6.67E-05	0	0.0002	0	6.67E-05	0	0.000133333	6.67E-05	0	0.000266667	0	0.0002	0.000266667	6.67E-05	0.000133333	0.0006	0	0.0004	0	0.0002	0.000266667	0	0	0.000666667	0.000533333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0.000133333	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0.000133333	0	0	0	0.0002	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0.0002	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	6.67E-05	0	0	0	0	0	0.0002	0	0	6.67E-05	6.67E-05	0.000333333	0	0.0002	0	0	0	0	0	6.67E-05	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0	6.67E-05	0	0	0	0	0	0.0006	0	0.0004	6.67E-05	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Waddliaceae	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;Other;Other;Other	0	0	0	0	6.67E-05	6.67E-05	6.67E-05	0	0	0	0.0004	0	0.000133333	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0.001933333	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003466667	0	0	0.000133333	0	0	0	6.67E-05	0	0	0	0	0	0.0008	0	0.0002	0	0	6.67E-05	0	0	0.000133333	0	0	0	0	0	6.67E-05	0	0	0.000133333	0	0	0	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	6.67E-05	0	0	0	0.000133333	0.000133333	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0.000133333	0	0	0	0	0.0004	0.0002	0	6.67E-05	0	0	0	0	0	0.001	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0.000133333	0	0	6.67E-05	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__;o__;f__	0	0	0	0	0.000133333	0.0012	6.67E-05	0	0.000333333	0	6.67E-05	0	0.000133333	0.000266667	0.000933333	0	0.0004	0	0.000866667	0.000866667	0	0	0	0	0	0	0.0004	0	6.67E-05	0	0	0	0.000466667	6.67E-05	0.000866667	0	0	0	0	0.0002	0.0016	0	0.000266667	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.002266667	6.67E-05	0	6.67E-05	0	0.000133333	0	0	6.67E-05	0	0	0	0	0.000333333	0	0	0	0	0.0004	0	0	0	0.000266667	0	0	0	0	0	0	6.67E-05	0.0002	0	0	0.0002	0	0	0	0	0	0.000333333	0.0002	0	0.000733333	0	0	6.67E-05	0	0	0	0.0002	0	0	0.000333333	0	6.67E-05	0	0.000466667	0.0002	0	0	0.0004	0	0	0.000266667	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0.000333333	0	0	0	0	0.0008	0	6.67E-05	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466667	0.000133333	0	0	0	0	0	0.000333333	0	0.000133333	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0.000133333	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__;f__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__A89;f__	0	0	0	0.0002	6.67E-05	0.000933333	0.000133333	0	0	0.000666667	0	0	0.000133333	0.000866667	0.000133333	0	0.0002	0	0.0006	6.67E-05	0	0	0	0	0	0	0.000533333	0	6.67E-05	0	0	0	0.001733333	6.67E-05	0.000333333	0.000333333	0	0.000133333	0	0.000133333	0.0002	0	0.0002	0	0	0	0	0	0	0	0	0	0.000333333	6.67E-05	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0.000333333	0	0	0.000133333	0.000133333	0.000133333	0	0.000133333	0.000533333	0	0	0	0.000133333	0.000133333	0	0	0	0.000133333	0	0	0	0	0	0	0.000133333	0.0002	0	0	0.000666667	0	0	0	0	0	0.000466667	0.001	0	0.000733333	0	0	0.000133333	0	0	0	0	0	0	0.000533333	0	6.67E-05	0.0002	0.0006	0.000333333	0	0	0.000133333	0	0	0.000733333	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0.000666667	0	0	0	0	0.000733333	0	0.0002	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0.0008	0	0	0	0	0	0	6.67E-05	0	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0.0002	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__C20;f__	0	0	0	0	0	0	0	0	6.67E-05	0.000333333	0	0	0	6.67E-05	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133333	6.67E-05	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	6.67E-05	0	0	0.000133333	0	0.000266667	0	6.67E-05	0.000133333	0	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0.000466667	0	0	0	6.67E-05	0	0	0	0	0	6.67E-05	6.67E-05	0	0.000133333	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.000266667	0	0	0	6.67E-05	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__PK329;f__	0	0	0	0	0	0.000266667	0.000333333	0	6.67E-05	0.0004	0	0	0	0.0008	6.67E-05	0	0.000133333	0	0.000533333	0	0	0	0	0	0.0004	0	0	0	6.67E-05	0	0	0	0.0012	0.001	0.000133333	0.0002	0	0.000133333	0	0.000133333	0.000133333	0	0.000266667	0	0	0	0	0	0	0	0	0.000133333	0.0004	6.67E-05	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0.000133333	0	0	6.67E-05	0.000666667	0	0	0	0	0.0006	0	0	0.0004	0.0002	0.000533333	0	0.000266667	0.0004	0	0	0	0.000133333	0	0	0	0	0	0	0	0	0	0	0	0.001133333	0	0	0	0.0014	0	0	0	0	0.000266667	0.000466667	0.000266667	0	0.000933333	0	0	0	0	0	0.000733333	0	0	0	0.0004	0	0.002866667	0.000333333	0.001133333	0.000933333	0	0	6.67E-05	0.0004	0	0.0016	0	6.67E-05	0	0	0.000266667	0	0	0	0	0	0	0	0	0	0.0004	0.0004	0	0	0	0.0006	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0.0014	0	0	0	0	0.000133333	0	0.000333333	0.0002	6.67E-05	0	0	0	0	0	0	0	0.0002	0	0	0	0	6.67E-05	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__VC38;f__	0	0	0	6.67E-05	0	6.67E-05	0.0002	0	0.000133333	6.67E-05	0	0	0	0.000133333	0.0002	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	6.67E-05	6.67E-05	0.000266667	0	0.0002	0	6.67E-05	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	6.67E-05	6.67E-05	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0.0002	0	0.0002	0	0.000333333	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0.0002	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000333333	0	0	0	0	0	0	0.000533333	0	0	0	0	0	0	0	0	0	0	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466667	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
